Name,Languages,Translated (Words),Target Words,Approved (Words),Votes Made
Gábor Vecsera (Wechy77),Hungarian,9200,8317,0,12
Mevlüt TOPÇU (xboxhunter84),Turkish,8521,7399,7874,182
Aliaksandr_Novikaŭ (alexnov2849),Belarusian,7956,6606,0,0
Abdullah Amir (dumreview),Russian,7305,5829,2810,7
Roy Schutte (Shizzel),Dutch,7186,6795,7505,9
Róbert Barát (rbarat),Slovak; Czech,7086,6491,7764,19
Lukas Novotny (novas78),Czech,6884,6040,7739,0
Gediminas Kiaunė (gedablo666),Lithuanian,6415,5427,0,0
luosir,Chinese Simplified,6317,10100,6768,59
tfae (tfaeusebio),Portuguese,6103,7094,0,286
Jorge Abel (JorgeAbel),Spanish,5283,6005,7422,0
Kevin Minions (Kevin_Minions),French,3517,3969,993,55
Tommaso Movis (Astrubale),Italian,3515,3890,4701,0
MaRekRM,Polish,3359,3050,0,97
Nanasi-,Japanese,3298,9887,0,6
Ondřej Holan (blackegi1),Czech,3281,2869,0,0
Minh Nhật (minhnhat84sk),Vietnamese,2813,3984,0,0
Taivotat2,Portuguese,2666,3007,0,90
Ja_som,Slovak,2598,2320,0,26
Lu Chang (Ludoux),Chinese Simplified,2512,4217,0,148
Daniel Ivanov (duciito),Bulgarian,2478,2538,0,0
Christian Horch (nazfalas),German,2443,2247,0,168
Evokkimus,Finnish,2230,1781,0,1
Álvaro Amador J. (amador.alvaro),Spanish,2228,2615,0,3
Jérôme Willing (JmWilling),German,2174,2059,0,694
Yury Salodky (armiesbodom),Russian,1984,1677,0,0
Emir Bardakçı (pupiolamyn),Turkish,1874,1645,0,0
phytomorphogenesis,Chinese Simplified,1871,2906,0,0
Till Kottmann (deletescape),German; Polish,1862,1779,2621,0
Carlos (lloco73),Portuguese,1780,1914,0,3
Kim Jong Min (kjm990202),Korean,1767,4073,0,0
Fred Schauß (zkaarface),Portuguese,1631,1786,0,12
Fauzi Ar (fauzi_4r),Indonesian,1616,1537,0,211
Kuciak (damiankorczak38),Polish,1528,1357,0,0
Lore Concas (lore96jr),Italian,1493,1597,0,340
Φώτιος Σιγούρος (sigouros.fotios),Greek,1466,1735,0,10
Vel_Djentleman,Ukrainian; Russian,1381,1161,0,0
카후우치노 (Naru),Korean,1336,3181,0,26
SauceBoss,Bulgarian,1324,1316,0,0
Bao Zou (baozou0421),Chinese Traditional,1318,2149,0,0
Adam Kwiatkowski (dahakepl),Polish,1303,1170,0,1
Me Bite (710623726),English; Chinese Traditional; Chinese Simplified,1251,1501,0,1
Jordi Gordillo (jordi_id96),Catalan; Spanish,1246,1388,0,2
PeterPaulBron,Dutch,1211,1190,0,438
Adiitya Andre (adiiit.and),Indonesian,1140,1042,0,2
Giuseppe Maggio (Jertlok),Italian,1120,1216,1155,11
Imam Nurcholis (imamnurcholis.in),Indonesian,1100,1003,0,0
SixFourSix,Finnish,1089,922,0,3
Kuba Schenk (abukcz),Czech,1086,839,0,0
